Value,Time
16,1231180
20,1233168
28,1235166
35,1237252
43,1239179
43,1241166
31,1243166
6,1245171
0,1247353
0,1249176
22,1251163
0,1253164
18,1255176
0,1257265
0,1259170
0,1261166
5,1263177
0,1265166
0,1267256
0,1269170
10,1271180
16,1273169
34,1275164
5,1277262
0,1279192
30,1281170
94,1283165
101,1285164
31,1287275
0,1289169
0,1291163
0,1293165
0,1295170
47,1297258
71,1299170
57,1301163
23,1303177
0,1305166
0,1307279
50,1309171
90,1311179
74,1313172
55,1315168
2,1317258
23,1319181
55,1321168
77,1323165
52,1325165
0,1327280
0,1329174
0,1331161
0,1333159
1,1335178
28,1337325
0,1339181
3,1341171
0,1343180
0,1345161
15,1347320
36,1349176
31,1351179
20,1353173
11,1355162
37,1357264
32,1359183
21,1361165
9,1363165
8,1365163
0,1367278
0,1369173
0,1371162
0,1373163
0,1375175
6,1377252
7,1379172
8,1381164
1,1383180
2,1385160
0,1387267
0,1389176
0,1391176
0,1393166
0,1395160
63,1397249
115,1399185
99,1401167
25,1403161
0,1405163
0,1407280
0,1409175
15,1411164
37,1413161
36,1415171
22,1417248
0,1419170
0,1421165
33,1423181
71,1425164
50,1427249
0,1429169
0,1431177
0,1433168
47,1435156
87,1437244
82,1439185
1,1441164
0,1443165
0,1445161
0,1447364
0,1449175
8,1451163
10,1453164
0,1455175
0,1457265
5,1459169
50,1461176
78,1463181
58,1465162
14,1467262
0,1469168
0,1471174
0,1473156
0,1475161
6,1477249
13,1479186
0,1481166
28,1483164
0,1485161
0,1487265
0,1489170
0,1491162
0,1493160
4,1495185
17,1497260
21,1499171
10,1501165
12,1503172
0,1505164
0,1507263
0,1509172
15,1511176
0,1513165
0,1515160
0,1517262
1,1519179
0,1521166
17,1523168
9,1525163
1,1527269
0,1529172
0,1531166
0,1533162
4,1535178
33,1537318
51,1539176
0,1541164
0,1543178
0,1545165
0,1547301
0,1549172
0,1551175
0,1553168
2,1555162
21,1557265
35,1559178
32,1561168
22,1563175
0,1565168
0,1567269
9,1569171
24,1571166
9,1573166
0,1575172
0,1577263
0,1579173
0,1581163
19,1583177
24,1585158
9,1587269
0,1589171
0,1591175
0,1593164
25,1595161
54,1597262
63,1599180
10,1601165
0,1603168
0,1605164
0,1607278
0,1609169
11,1611166
0,1613164
7,1615177
19,1617263
22,1619167
17,1621148
0,1623177
0,1625167
0,1627263
0,1629171
0,1631179
0,1633169
0,1635151
4,1637260
14,1639182
24,1641166
44,1643162
15,1645165
5,1647364
18,1649169
14,1651151
0,1653148
15,1655171
9,1657262
25,1659175
19,1661157
8,1663173
0,1665155
0,1667260
0,1669171
0,1671175
0,1673155
10,1675146
26,1677488
36,1679183
49,1681153
63,1683152
41,1685149
0,1687274
3,1689159
0,1691151
25,1693149
87,1695155
76,1697266
7,1699154
0,1701152
0,1703163
0,1705148
0,1707260
8,1709157
30,1711269
19,1713185
4,1715161
17,1717264
47,1719182
96,1721155
99,1723151
59,1725146
0,1727281
0,1729162
0,1731151
7,1733148
23,1735164
4,1737320
0,1739159
0,1741167
0,1743175
0,1745164
0,1747312
0,1749158
0,1751161
0,1753154
0,1755164
16,1757263
17,1759173
17,1761153
26,1763151
21,1765160
9,1767268
34,1769159
22,1771163
22,1773166
37,1775158
27,1777267
29,1779160
0,1781163
27,1783162
50,1785172
31,1787262
0,1789171
0,1791173
0,1793167
0,1795161
20,1797261
53,1799178
80,1801168
54,1803165
11,1805164
0,1807280
19,1809170
89,1811166
102,1813159
59,1815162
19,1817256
7,1819175
46,1821168
73,1823163
70,1825168
0,1827263
0,1829171
0,1831163
0,1833167
0,1835169
1,1837273
2,1839168
0,1841162
1,1843168
0,1845162
0,1847311
21,1849175
37,1851165
31,1853168
36,1855178
72,1857265
67,1859170
49,1861164
31,1863175
0,1865165
0,1867259
0,1869256
40,1871178
35,1873168
8,1875165
0,1877267
0,1879179
0,1881165
0,1883162
0,1885162
0,1887275
0,1889173
0,1891162
0,1893175
17,1895175
70,1897263
88,1899171
48,1901169
11,1903176
13,1905164
38,1907263
47,1909170
43,1911178
19,1913168
0,1915165
0,1917262
0,1919178
0,1921164
0,1923165
0,1925162
0,1927288
0,1929172
0,1931161
0,1933162
33,1935177
56,1937470
51,1939182
37,1941161
59,1943178
36,1945162
13,1947305
0,1949169
0,1951173
0,1953166
32,1955160
59,1957260
27,1959174
0,1961164
0,1963165
0,1965161
0,1967280
0,1969168
0,1971160
0,1973164
0,1975171
0,1977259
13,1979168
47,1981163
55,1983170
26,1985161
0,1987258
17,1989169
16,1991175
40,1993169
43,1995157
28,1997254
19,1999178
0,2001237
0,2003175
0,2005161
0,2007303
0,2009171
0,2011160
0,2013164
0,2015174
0,2017266
5,2019170
24,2021167
29,2023177
21,2025167
2,2027260
15,2029167
9,2031175
21,2033162
20,2035165
0,2037263
2,2039181
34,2041164
62,2043162
40,2045161
0,2047379
0,2049168
0,2051166
0,2053161
0,2055171
35,2057264
46,2059167
28,2061162
7,2063174
0,2065163
12,2067262
51,2069167
56,2071177
44,2073162
0,2075176
20,2077262
48,2079178
61,2081165
55,2083160
7,2085157
0,2087288
0,2089170
0,2091162
0,2093159
0,2095172
4,2097261
17,2099169
0,2101165
0,2103174
0,2105161
0,2107253
14,2109163
15,2111180
17,2113166
40,2115162
36,2117254
44,2119172
35,2121164
13,2123161
0,2125160
0,2127276
29,2129170
33,2131163
0,2133161
0,2135175
0,2137321
0,2139176
0,2141163
7,2143169
13,2145167
0,2147303
0,2149173
0,2151176
0,2153162
49,2155160
74,2157257
57,2159176
30,2161168
12,2163160
26,2165160
31,2167273
38,2169166
0,2171162
0,2173161
0,2175176
0,2177259
0,2179168
0,2181162
4,2183179
0,2185163
0,2187258
0,2189168
0,2191174
0,2193165
31,2195163
42,2197257
43,2199179
37,2201165
16,2203161
29,2205155
8,2207278
0,2209172
0,2211161
0,2213159
41,2215170
68,2217255
39,2219170
0,2221163
0,2223173
0,2225164
0,2227258
0,2229168
10,2231176
4,2233164
4,2235166
0,2237257
13,2239183
55,2241165
77,2243162
43,2245162
0,2247348
7,2249169
13,2251165
41,2253177
52,2255178
24,2257260
11,2259168
0,2261162
0,2263173
0,2265166
0,2267254
0,2269166
0,2271177
0,2273162
0,2275158
0,2277260
20,2279180
39,2281166
39,2283161
26,2285157
6,2287273
6,2289166
16,2291158
17,2293161
15,2295173
19,2297260
23,2299173
31,2301166
14,2303171
0,2305163
0,2307257
0,2309167
0,2311175
0,2313165
0,2315164
5,2317252
12,2319181
24,2321163
41,2323163
30,2325162
0,2327275
0,2329168
0,2331174
57,2333161
110,2335177
85,2337323
0,2339171
0,2341164
0,2343173
0,2345165
0,2347298
26,2349176
21,2351178
0,2353163
0,2355155
0,2357257
45,2359177
90,2361167
55,2363158
16,2365163
0,2367279
0,2369168
19,2371164
45,2373156
36,2375176
0,2377240
0,2379167
0,2381159
0,2383171
0,2385166
3,2387250
0,2389169
0,2391174
0,2393158
0,2395160
24,2397242
50,2399183
51,2401168
40,2403158
15,2405158
6,2407277
4,2409169
5,2411163
0,2413159
0,2415176
10,2417254
44,2419162
66,2421163
48,2423175
0,2425161
0,2427254
0,2429165
0,2431176
6,2433154
32,2435167
32,2437253
21,2439176
0,2441164
0,2443158
28,2445159
49,2447306
0,2449174
0,2451164
0,2453158
27,2455178
76,2457246
80,2459165
35,2461161
0,2463170
0,2465164
0,2467256
0,2469165
0,2471178
0,2473161
0,2475156
0,2477245
0,2479178
0,2481168
35,2483158
48,2485160
35,2487271
19,2489166
22,2491159
23,2493158
19,2495180
21,2497255
5,2499165
10,2501161
12,2503170
10,2505160
0,2507253
0,2509166
0,2511180
0,2513163
0,2515160
5,2517256
0,2519175
5,2521163
6,2523159
8,2525162
1,2527262
0,2529168
0,2531164
17,2533161
83,2535178
91,2537328
41,2539173
0,2541161
0,2543173
0,2545163
0,2547304
17,2549165
31,2551173
14,2553161
0,2555158
0,2557258
3,2559177
54,2561153
67,2563158
61,2565161
0,2567261
0,2569169
7,2571162
37,2573161
41,2575176
42,2577259
0,2579166
0,2581161
0,2583173
0,2585166
3,2587259
17,2589170
16,2591176
0,2593165
0,2595163
8,2597258
37,2599178
53,2601167
42,2603158
20,2605158
0,2607258
0,2609169
8,2611158
2,2613157
0,2615176
4,2617260
25,2619164
