frame,sec_elapsed,frontwheel_x,frontwheel_y,frontwheel_r,frontfender_x,frontfender_y,rearwheel_x,rearwheel_y,rearwheel_r,rearfender_x,rearfender_y
111,1.851851852,0,0,0,0,0,0,0,0,0,0
112,1.868535202,0,0,0,0,0,0,0,0,0,0
113,1.885218552,0,0,0,0,0,0,0,0,0,0
114,1.901901902,0,0,0,0,0,0,0,0,0,0
115,1.918585252,0,0,0,0,0,0,0,0,0,0
116,1.935268602,0,0,0,0,0,0,0,0,0,0
117,1.951951952,0,0,0,0,0,0,0,0,0,0
118,1.968635302,0,0,0,0,0,0,0,0,0,0
119,1.985318652,0,0,0,0,0,0,0,0,0,0
120,2.002002002,0,0,0,0,0,0,0,0,0,0
121,2.018685352,0,0,0,0,0,0,0,0,0,0
122,2.035368702,0,0,0,0,0,0,0,0,0,0
123,2.052052052,0,0,0,0,0,0,0,0,0,0
124,2.068735402,0,0,0,0,0,0,0,0,0,0
125,2.085418752,0,0,0,0,0,0,0,0,0,0
126,2.102102102,0,0,0,0,0,0,0,0,0,0
127,2.118785452,0,0,0,0,0,0,0,0,0,0
128,2.135468802,0,0,0,0,0,0,0,0,0,0
129,2.152152152,0,0,0,0,0,0,0,0,0,0
130,2.168835502,0,0,0,0,0,0,0,0,0,0
131,2.185518852,0,0,0,0,0,0,0,0,0,0
132,2.202202202,0,0,0,0,0,0,0,0,0,0
133,2.218885552,0,0,0,0,0,0,0,0,0,0
134,2.235568902,0,0,0,0,0,0,0,0,0,0
135,2.252252252,0,0,0,0,0,0,0,0,0,0
136,2.268935602,0,0,0,0,0,0,0,0,0,0
137,2.285618952,0,0,0,0,0,0,0,0,0,0
138,2.302302302,0,0,0,0,0,0,0,0,0,0
139,2.318985652,0,0,0,0,0,0,0,0,0,0
140,2.335669002,0,0,0,0,0,0,0,0,0,0
141,2.352352352,0,0,0,0,0,0,0,0,0,0
142,2.369035702,0,0,0,0,0,0,0,0,0,0
143,2.385719052,0,0,0,0,0,0,0,0,0,0
144,2.402402402,0,0,0,0,0,0,0,0,0,0
145,2.419085752,0,0,0,0,0,0,0,0,0,0
146,2.435769102,0,0,0,0,0,0,0,0,0,0
147,2.452452452,0,0,0,0,0,0,0,0,0,0
148,2.469135802,0,0,0,0,0,0,0,0,0,0
149,2.485819152,0,0,0,0,0,0,0,0,0,0
150,2.502502503,0,0,0,0,0,0,0,0,0,0
151,2.519185853,0,0,0,0,0,0,0,0,0,0
152,2.535869203,0,0,0,0,0,0,0,0,0,0
153,2.552552553,0,0,0,0,0,0,0,0,0,0
154,2.569235903,0,0,0,0,0,0,0,0,0,0
155,2.585919253,0,0,0,0,0,0,0,0,0,0
156,2.602602603,0,0,0,0,0,0,0,0,0,0
157,2.619285953,0,0,0,0,0,0,0,0,0,0
158,2.635969303,0,0,0,0,0,0,0,0,0,0
159,2.652652653,0,0,0,0,0,0,0,0,0,0
160,2.669336003,0,0,0,0,0,0,0,0,0,0
161,2.686019353,0,0,0,0,0,0,0,0,0,0
162,2.702702703,0,0,0,0,0,0,0,0,0,0
163,2.719386053,0,0,0,0,0,0,0,0,0,0
164,2.736069403,0,0,0,0,0,0,0,0,0,0
165,2.752752753,0,0,0,0,0,0,0,0,0,0
166,2.769436103,0,0,0,0,0,0,0,0,0,0
167,2.786119453,0,0,0,0,0,0,0,0,0,0
168,2.802802803,0,0,0,0,0,0,0,0,0,0
169,2.819486153,0,0,0,0,0,0,0,0,0,0
170,2.836169503,0,0,0,0,0,0,0,0,0,0
171,2.852852853,0,0,0,0,0,0,0,0,0,0
172,2.869536203,0,0,0,0,0,0,0,0,0,0
173,2.886219553,0,0,0,0,0,0,0,0,0,0
174,2.902902903,0,0,0,0,0,0,0,0,0,0
175,2.919586253,0,0,0,0,0,0,0,0,0,0
176,2.936269603,0,0,0,0,0,0,0,0,0,0
177,2.952952953,0,0,0,0,0,0,0,0,0,0
178,2.969636303,0,0,0,0,0,0,0,0,0,0
179,2.986319653,0,0,0,0,0,0,0,0,0,0
180,3.003003003,0,0,0,0,0,0,0,0,0,0
181,3.019686353,0,0,0,0,0,0,0,0,0,0
182,3.036369703,0,0,0,0,0,0,0,0,0,0
183,3.053053053,0,0,0,0,0,0,0,0,0,0
184,3.069736403,0,0,0,0,0,0,0,0,0,0
185,3.086419753,0,0,0,0,0,0,0,0,0,0
186,3.103103103,0,0,0,0,0,0,0,0,0,0
187,3.119786453,0,0,0,0,0,0,0,0,0,0
188,3.136469803,0,0,0,0,0,0,0,0,0,0
189,3.153153153,0,0,0,0,0,0,0,0,0,0
190,3.169836503,0,0,0,0,0,0,0,0,0,0
191,3.186519853,0,0,0,0,0,0,0,0,0,0
192,3.203203203,0,0,0,0,0,0,0,0,0,0
193,3.219886553,0,0,0,0,0,0,0,0,0,0
194,3.236569903,0,0,0,0,0,0,0,0,0,0
195,3.253253253,0,0,0,0,0,0,0,0,0,0
196,3.269936603,0,0,0,0,0,0,0,0,0,0
197,3.286619953,0,0,0,0,0,0,0,0,0,0
198,3.303303303,0,0,0,0,0,0,0,0,0,0
