# 23 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	117.808018	157.000000	     -1.00	   2111.00	    874.00	      8.00	      4.00	     -1.00	     -1.00	-0.00	 2.999e+01	    -17.89	Gaussian	0.000000	0.000000
2	1	 12.793579	179.349438	     -1.00	    568.44	    693.45	     30.47	     30.47	     -1.00	     -1.00	-64.97	 3.848e+01	    -13.20	Gaussian	0.000000	0.000000
3	1	156.756772	391.175847	     -1.00	    243.92	   1960.39	      3.86	      3.86	     -1.00	     -1.00	78.40	 1.975e+01	    -11.38	Gaussian	0.000000	0.000000
4	1	 39.079329	168.353125	     -1.00	   1219.30	   1300.40	     14.18	      8.26	     -1.00	     -1.00	-21.52	 4.848e+01	    -10.90	Gaussian	0.000000	0.000000
5	1	 52.308634	139.869328	     -1.00	     39.50	   1361.70	     12.71	      9.66	     -1.00	     -1.00	-2.59	 2.324e+01	    -10.72	Gaussian	0.000000	0.000000
6	1	129.602734	142.217579	     -1.00	    691.73	   1626.61	      7.25	      3.79	     -1.00	     -1.00	-7.82	 1.876e+01	    -10.59	Gaussian	0.000000	0.000000
7	1	 20.721272	222.575310	     -1.00	   1979.62	   2170.89	      8.75	      7.20	     -1.00	     -1.00	65.16	 2.158e+01	    -10.50	Gaussian	0.000000	0.000000
8	1	 38.645658	227.779075	     -1.00	   1550.55	   1270.10	      4.93	      2.60	     -1.00	     -1.00	-10.70	 5.529e+01	     -9.66	Gaussian	0.000000	0.000000
9	1	 98.803551	178.042478	     -1.00	   2307.57	   1326.89	      5.81	      4.60	     -1.00	     -1.00	-0.18	 6.337e+01	     -9.64	Gaussian	0.000000	0.000000
10	1	104.907229	173.165772	     -1.00	   1957.13	   1595.77	      4.34	      3.03	     -1.00	     -1.00	-23.85	 4.224e+01	     -9.55	Gaussian	0.000000	0.000000
11	1	 49.688844	165.801809	     -1.00	   1393.87	   1358.49	      5.85	      5.48	     -1.00	     -1.00	-50.98	 4.120e+01	     -9.45	Gaussian	0.000000	0.000000
12	1	116.651598	461.884652	     -1.00	   2106.56	   1394.59	      3.23	      2.47	     -1.00	     -1.00	-32.11	 4.676e+01	     -9.37	Gaussian	0.000000	0.000000
13	1	 67.846802	164.539370	     -1.00	   2162.18	   1508.12	      7.66	      3.90	     -1.00	     -1.00	4.60	 4.362e+01	     -9.36	Gaussian	0.000000	0.000000
14	1	 74.812758	180.528468	     -1.00	   2335.08	   1411.12	      6.22	      4.08	     -1.00	     -1.00	75.92	 4.141e+01	     -9.30	Gaussian	0.000000	0.000000
15	1	136.395333	1008.802008	     -1.00	   2102.60	   1403.44	      2.85	      1.88	     -1.00	     -1.00	-24.88	 2.373e+01	     -9.26	Gaussian	0.000000	0.000000
16	1	113.267466	255.250183	     -1.00	   2110.34	   1385.29	      3.48	      2.99	     -1.00	     -1.00	-10.62	 4.019e+01	     -9.26	Gaussian	0.000000	0.000000
17	1	 61.287208	194.223039	     -1.00	   1201.38	   1052.34	      5.71	      3.88	     -1.00	     -1.00	69.85	 9.290e+00	     -9.22	Gaussian	0.000000	0.000000
18	1	 40.267323	186.104492	     -1.00	   3231.22	    797.21	      1.79	      1.75	     -1.00	     -1.00	-85.32	 4.077e+01	     -9.04	Gaussian	0.000000	0.000000
19	1	112.249126	167.499129	     -1.00	   2081.67	   1288.79	      5.06	      2.61	     -1.00	     -1.00	80.11	 6.273e+01	     -8.89	Gaussian	0.000000	0.000000
20	1	 84.304991	175.562106	     -1.00	   1975.51	   1533.95	      4.10	      3.10	     -1.00	     -1.00	66.89	 6.363e+01	     -8.64	Gaussian	0.000000	0.000000
21	1	117.234818	100.864226	     -1.00	   1176.24	   1267.10	      5.43	      3.94	     -1.00	     -1.00	-78.13	 8.067e+00	     -8.47	Gaussian	0.000000	0.000000
22	1	100.860869	191.220004	     -1.00	   3253.03	   1458.47	      3.76	      2.90	     -1.00	     -1.00	66.34	 1.762e+01	     -8.41	Gaussian	0.000000	0.000000
23	1	118.744303	-17.976597	     -1.00	   2013.03	   1181.49	     13.37	      7.38	     -1.00	     -1.00	82.32	 5.252e+01	     -6.64	Gaussian	0.000000	0.000000
