# 21 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	149.305814	-41.553223	     -1.00	   2962.08	    946.05	    115.49	    115.16	     -1.00	     -1.00	25.50	 4.665e+01	    -16.20	Gaussian	0.000000	0.000000
2	1	114.958963	301.562183	     -1.00	    541.98	   1110.65	      9.36	      9.36	     -1.00	     -1.00	12.94	 6.521e+01	    -15.60	Gaussian	0.000000	0.000000
3	1	 89.571124	336.430110	     -1.00	   2287.43	   1161.59	     11.44	      6.27	     -1.00	     -1.00	10.56	 4.018e+01	    -13.51	Gaussian	0.000000	0.000000
4	1	124.719624	201.367635	     -1.00	   2287.42	   1560.14	     18.71	     11.75	     -1.00	     -1.00	8.82	 2.735e+01	    -12.38	Gaussian	0.000000	0.000000
5	1	146.073777	212.324425	     -1.00	    897.68	    951.56	      9.05	      5.62	     -1.00	     -1.00	0.14	 4.363e+01	    -12.03	Gaussian	0.000000	0.000000
6	1	 40.185123	167.021318	     -1.00	   1222.68	   1289.57	     14.05	      8.24	     -1.00	     -1.00	-21.34	 4.975e+01	    -10.88	Gaussian	0.000000	0.000000
7	1	 53.112994	140.959489	     -1.00	     45.06	   1350.38	     12.55	      9.38	     -1.00	     -1.00	-0.29	 2.361e+01	    -10.69	Gaussian	0.000000	0.000000
8	1	 20.090427	227.025100	     -1.00	   1983.19	   2162.25	      8.65	      7.17	     -1.00	     -1.00	65.06	 2.079e+01	    -10.51	Gaussian	0.000000	0.000000
9	1	 71.802814	224.550801	     -1.00	    452.74	   1489.64	      6.51	      5.23	     -1.00	     -1.00	-35.87	 4.071e+01	     -9.84	Gaussian	0.000000	0.000000
10	1	 79.758861	1119.688607	     -1.00	   2352.24	   1363.23	      3.90	      2.32	     -1.00	     -1.00	31.41	 4.642e+01	     -9.68	Gaussian	0.000000	0.000000
11	1	 87.798489	147.975757	     -1.00	   3070.83	   1627.96	      5.87	      5.21	     -1.00	     -1.00	12.13	 2.640e+01	     -9.48	Gaussian	0.000000	0.000000
12	1	 50.043070	167.213379	     -1.00	   1397.15	   1347.25	      5.53	      5.20	     -1.00	     -1.00	-71.61	 3.798e+01	     -9.34	Gaussian	0.000000	0.000000
13	1	 83.529083	178.154122	     -1.00	   2341.55	   1402.89	      6.17	      3.78	     -1.00	     -1.00	78.25	 4.868e+01	     -9.27	Gaussian	0.000000	0.000000
14	1	 62.246634	187.036088	     -1.00	   1204.78	   1042.16	      5.81	      3.86	     -1.00	     -1.00	73.13	 8.670e+00	     -9.19	Gaussian	0.000000	0.000000
15	1	 83.359418	176.797982	     -1.00	   1811.33	   1172.67	      5.34	      3.20	     -1.00	     -1.00	-21.06	 3.178e+01	     -8.93	Gaussian	0.000000	0.000000
16	1	131.469608	202.641124	     -1.00	   2106.16	   1391.15	      4.01	      2.60	     -1.00	     -1.00	-27.73	 4.094e+01	     -8.84	Gaussian	0.000000	0.000000
17	1	121.921308	216.047187	     -1.00	   2113.21	   1373.90	      4.13	      2.45	     -1.00	     -1.00	-41.63	 4.205e+01	     -8.79	Gaussian	0.000000	0.000000
18	1	101.771666	167.916208	     -1.00	   2358.67	   1399.90	      5.55	      2.86	     -1.00	     -1.00	64.92	 4.382e+01	     -8.70	Gaussian	0.000000	0.000000
19	1	 87.460793	193.949431	     -1.00	   1975.09	   1523.80	      3.84	      2.84	     -1.00	     -1.00	62.39	 6.337e+01	     -8.45	Gaussian	0.000000	0.000000
20	1	108.360977	169.862986	     -1.00	   2221.04	   1319.02	      3.43	      2.83	     -1.00	     -1.00	-40.96	 5.329e+01	     -8.21	Gaussian	0.000000	0.000000
21	1	106.268434	184.728484	     -1.00	   3031.03	   1189.37	      3.82	      1.96	     -1.00	     -1.00	78.18	 2.722e+01	     -7.98	Gaussian	0.000000	0.000000
