# 22 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	 91.354310	469.819246	     -1.00	    490.79	   1083.39	     13.07	     13.06	     -1.00	     -1.00	-16.40	 6.447e+01	    -16.12	Gaussian	0.000000	0.000000
2	1	135.053971	175.016999	     -1.00	    192.65	   1241.71	     28.97	     23.01	     -1.00	     -1.00	4.71	 3.342e+01	    -14.71	Gaussian	0.000000	0.000000
3	1	 92.127963	299.236555	     -1.00	   2390.82	   1164.22	     11.54	     10.49	     -1.00	     -1.00	-12.91	 3.956e+01	    -13.58	Gaussian	0.000000	0.000000
4	1	110.353249	224.714189	     -1.00	   2294.09	   1575.36	     20.60	     12.83	     -1.00	     -1.00	5.34	 3.485e+01	    -12.61	Gaussian	0.000000	0.000000
5	1	 89.081268	179.052307	     -1.00	   1749.99	   1191.09	      6.40	      4.85	     -1.00	     -1.00	-17.46	 4.643e+01	    -12.25	Gaussian	0.000000	0.000000
6	1	 53.380040	140.552092	     -1.00	     41.96	   1350.27	     12.11	      9.75	     -1.00	     -1.00	-2.75	 2.324e+01	    -10.69	Gaussian	0.000000	0.000000
7	1	 20.535189	216.292554	     -1.00	   1983.01	   2165.19	      9.22	      7.14	     -1.00	     -1.00	65.52	 2.099e+01	    -10.52	Gaussian	0.000000	0.000000
8	1	140.530764	659.145374	     -1.00	   2079.45	   1431.06	      2.25	      1.57	     -1.00	     -1.00	63.84	 4.503e+01	    -10.21	Gaussian	0.000000	0.000000
9	1	 80.680168	206.011005	     -1.00	   2347.60	   1362.00	      5.51	      3.36	     -1.00	     -1.00	45.73	 4.799e+01	     -9.70	Gaussian	0.000000	0.000000
10	1	116.934514	542.847599	     -1.00	   2094.05	   1410.33	      3.90	      2.18	     -1.00	     -1.00	-23.00	 3.856e+01	     -9.59	Gaussian	0.000000	0.000000
11	1	 49.902891	163.997530	     -1.00	   1395.43	   1346.00	      5.77	      5.40	     -1.00	     -1.00	-83.19	 3.903e+01	     -9.41	Gaussian	0.000000	0.000000
12	1	134.615117	705.306416	     -1.00	   2104.12	   1391.61	      3.08	      1.90	     -1.00	     -1.00	-26.65	 2.591e+01	     -9.29	Gaussian	0.000000	0.000000
13	1	 77.501569	176.507594	     -1.00	   2337.13	   1400.19	      5.83	      4.17	     -1.00	     -1.00	73.63	 4.274e+01	     -9.27	Gaussian	0.000000	0.000000
14	1	 64.484304	211.653330	     -1.00	   2131.63	   1508.00	      3.76	      3.76	     -1.00	     -1.00	40.20	 4.376e+01	     -9.23	Gaussian	0.000000	0.000000
15	1	 95.468971	169.676305	     -1.00	   3232.25	   1692.24	      6.51	      3.81	     -1.00	     -1.00	13.91	 2.927e+01	     -9.20	Gaussian	0.000000	0.000000
16	1	 61.941585	191.011315	     -1.00	   1201.65	   1038.60	      5.73	      3.84	     -1.00	     -1.00	81.38	 8.142e+00	     -9.19	Gaussian	0.000000	0.000000
17	1	 83.654554	223.493223	     -1.00	   1808.34	   1169.26	      5.35	      3.16	     -1.00	     -1.00	-14.42	 3.075e+01	     -9.11	Gaussian	0.000000	0.000000
18	1	132.432868	 41.988072	     -1.00	   2265.35	   1513.46	     10.32	      6.58	     -1.00	     -1.00	49.53	 8.077e+00	     -8.77	Gaussian	0.000000	0.000000
19	1	 85.844516	186.179332	     -1.00	   1975.99	   1523.00	      3.97	      3.02	     -1.00	     -1.00	64.13	 6.522e+01	     -8.51	Gaussian	0.000000	0.000000
20	1	117.976256	102.632047	     -1.00	   1177.04	   1254.38	      5.54	      3.91	     -1.00	     -1.00	-78.49	 8.290e+00	     -8.50	Gaussian	0.000000	0.000000
21	1	128.292858	206.966196	     -1.00	   2114.89	   1364.84	      3.27	      2.84	     -1.00	     -1.00	-34.15	 3.432e+01	     -8.40	Gaussian	0.000000	0.000000
22	1	108.293516	173.239185	     -1.00	   1958.94	   1581.80	      4.27	      2.59	     -1.00	     -1.00	-74.84	 4.078e+01	     -8.38	Gaussian	0.000000	0.000000
