# 18 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	-228.780271	406.979906	     -1.00	    384.02	   1892.46	   1074.65	    762.89	     -1.00	     -1.00	73.06	 3.686e+01	    -19.49	Gaussian	0.000000	0.000000
2	1	130.417931	 92.035517	     -1.00	   1657.59	   1954.64	     15.60	     14.68	     -1.00	     -1.00	-70.82	 1.509e+01	    -14.42	Gaussian	0.000000	0.000000
3	1	 79.401033	207.171284	     -1.00	   2403.13	   1822.36	     24.21	     21.81	     -1.00	     -1.00	-26.75	 6.282e+01	    -13.87	Gaussian	0.000000	0.000000
4	1	134.968192	296.566163	     -1.00	   2278.52	   1533.58	     13.62	      8.67	     -1.00	     -1.00	8.86	 1.905e+01	    -12.60	Gaussian	0.000000	0.000000
5	1	 54.059464	141.282457	     -1.00	     48.40	   1343.67	     12.45	      9.40	     -1.00	     -1.00	-0.25	 2.331e+01	    -10.68	Gaussian	0.000000	0.000000
6	1	 19.421799	222.167417	     -1.00	   1988.76	   2162.27	      9.01	      7.30	     -1.00	     -1.00	65.28	 2.009e+01	    -10.55	Gaussian	0.000000	0.000000
7	1	139.868547	1007.207168	     -1.00	   1937.65	   1041.80	      1.93	      1.26	     -1.00	     -1.00	35.33	 2.724e+01	     -9.99	Gaussian	0.000000	0.000000
8	1	 34.911587	180.805855	     -1.00	   1401.40	   1339.45	      6.38	      6.11	     -1.00	     -1.00	-62.44	 3.084e+01	     -9.76	Gaussian	0.000000	0.000000
9	1	126.489080	209.368897	     -1.00	   2109.04	   1381.18	      4.73	      2.72	     -1.00	     -1.00	-28.27	 4.422e+01	     -9.12	Gaussian	0.000000	0.000000
10	1	 73.102645	169.061386	     -1.00	   1952.02	   1514.84	      4.42	      4.42	     -1.00	     -1.00	2.71	 6.241e+01	     -9.04	Gaussian	0.000000	0.000000
11	1	 97.604020	188.854278	     -1.00	   2304.54	   1295.19	      2.79	      2.63	     -1.00	     -1.00	-3.32	 6.618e+01	     -9.01	Gaussian	0.000000	0.000000
12	1	124.732252	1387.291918	     -1.00	   2115.85	   1364.50	      2.52	      1.83	     -1.00	     -1.00	-34.84	 3.717e+01	     -8.98	Gaussian	0.000000	0.000000
13	1	117.246825	215.854950	     -1.00	   2112.90	   1372.07	      2.85	      2.85	     -1.00	     -1.00	68.93	 4.931e+01	     -8.90	Gaussian	0.000000	0.000000
14	1	121.432007	214.653149	     -1.00	   1733.32	   1242.88	      3.85	      2.48	     -1.00	     -1.00	-44.10	 5.466e+01	     -8.72	Gaussian	0.000000	0.000000
15	1	 53.904335	167.343985	     -1.00	   2125.14	   1499.83	      3.25	      2.75	     -1.00	     -1.00	26.46	 3.043e+01	     -8.42	Gaussian	0.000000	0.000000
16	1	 89.521940	150.471932	     -1.00	    366.45	   1498.90	      2.23	      1.30	     -1.00	     -1.00	-51.79	 2.539e+01	     -8.23	Gaussian	0.000000	0.000000
17	1	127.852435	220.365436	     -1.00	   2118.07	   1356.14	      2.87	      2.05	     -1.00	     -1.00	-73.19	 3.378e+01	     -8.18	Gaussian	0.000000	0.000000
18	1	115.071874	145.971759	     -1.00	   3018.01	   1181.02	      2.49	      1.67	     -1.00	     -1.00	80.99	 2.211e+01	     -7.05	Gaussian	0.000000	0.000000
