# 18 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	134.609398	4893.858647	     -1.00	   2277.28	   1538.92	      8.33	      5.10	     -1.00	     -1.00	-7.27	 2.138e+01	    -12.24	Gaussian	0.000000	0.000000
2	1	121.790496	153.152985	     -1.00	   2376.88	   1456.04	     12.09	      7.80	     -1.00	     -1.00	8.66	 2.921e+01	    -11.25	Gaussian	0.000000	0.000000
3	1	 39.419483	164.098662	     -1.00	   1223.23	   1292.88	     10.45	     10.45	     -1.00	     -1.00	-86.84	 4.899e+01	    -10.79	Gaussian	0.000000	0.000000
4	1	 53.240271	138.571610	     -1.00	     45.77	   1355.29	     12.76	      9.51	     -1.00	     -1.00	-2.28	 2.330e+01	    -10.70	Gaussian	0.000000	0.000000
5	1	 20.845237	220.723020	     -1.00	   1985.56	   2165.92	      9.04	      7.11	     -1.00	     -1.00	65.65	 2.003e+01	    -10.52	Gaussian	0.000000	0.000000
6	1	121.538073	175.991807	     -1.00	   2090.31	   1423.68	      3.81	      3.15	     -1.00	     -1.00	-15.81	 2.956e+01	     -9.93	Gaussian	0.000000	0.000000
7	1	 50.837179	165.695033	     -1.00	   1398.07	   1350.79	      5.35	      5.35	     -1.00	     -1.00	34.36	 3.797e+01	     -9.32	Gaussian	0.000000	0.000000
8	1	133.352203	957.587497	     -1.00	   2106.70	   1395.35	      3.20	      1.82	     -1.00	     -1.00	-25.08	 2.664e+01	     -9.32	Gaussian	0.000000	0.000000
9	1	 75.374669	186.679201	     -1.00	   2341.01	   1405.48	      5.98	      4.00	     -1.00	     -1.00	79.36	 4.073e+01	     -9.27	Gaussian	0.000000	0.000000
10	1	 83.292505	249.408589	     -1.00	   2350.49	   1366.49	      2.99	      2.16	     -1.00	     -1.00	40.22	 5.002e+01	     -9.27	Gaussian	0.000000	0.000000
11	1	 61.192239	188.534867	     -1.00	   1204.03	   1044.10	      5.75	      3.92	     -1.00	     -1.00	72.24	 8.560e+00	     -9.21	Gaussian	0.000000	0.000000
12	1	 82.615490	197.946280	     -1.00	   1810.76	   1175.15	      5.22	      3.45	     -1.00	     -1.00	-10.00	 3.161e+01	     -9.07	Gaussian	0.000000	0.000000
13	1	120.748372	191.017689	     -1.00	   2114.07	   1377.95	      4.70	      3.27	     -1.00	     -1.00	-45.53	 4.462e+01	     -9.05	Gaussian	0.000000	0.000000
14	1	126.141370	190.703928	     -1.00	   2110.50	   1387.17	      4.05	      2.42	     -1.00	     -1.00	-15.30	 4.265e+01	     -8.80	Gaussian	0.000000	0.000000
15	1	 83.249688	192.585980	     -1.00	   1977.21	   1527.39	      3.84	      3.19	     -1.00	     -1.00	63.26	 6.422e+01	     -8.57	Gaussian	0.000000	0.000000
16	1	116.321711	-15.281447	     -1.00	   2017.19	   1177.34	     13.89	      7.34	     -1.00	     -1.00	82.66	 5.243e+01	     -8.51	Gaussian	0.000000	0.000000
17	1	131.146320	174.054486	     -1.00	   2117.04	   1369.20	      4.06	      3.20	     -1.00	     -1.00	-6.70	 3.849e+01	     -7.79	Gaussian	0.000000	0.000000
18	1	105.607537	134.968295	     -1.00	   2916.82	   1170.79	      3.19	      2.09	     -1.00	     -1.00	-11.00	 1.154e+01	     -7.52	Gaussian	0.000000	0.000000
