# 20 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	 81.431675	200.119188	     -1.00	   2404.06	   1797.42	     39.25	     38.62	     -1.00	     -1.00	-17.03	 5.680e+01	    -14.43	Gaussian	0.000000	0.000000
2	1	 83.598088	339.351855	     -1.00	    582.98	   1059.57	     14.90	      7.69	     -1.00	     -1.00	-64.70	 3.907e+01	    -14.04	Gaussian	0.000000	0.000000
3	1	134.692442	223.549275	     -1.00	   2276.87	   1520.97	     13.50	      8.04	     -1.00	     -1.00	2.83	 2.048e+01	    -12.56	Gaussian	0.000000	0.000000
4	1	121.826660	183.696135	     -1.00	   2294.13	   1554.42	     19.22	     13.83	     -1.00	     -1.00	8.95	 2.847e+01	    -12.53	Gaussian	0.000000	0.000000
5	1	133.652867	806.793330	     -1.00	   2264.18	   1494.33	      9.35	      5.17	     -1.00	     -1.00	-9.83	 2.576e+01	    -11.84	Gaussian	0.000000	0.000000
6	1	 52.473248	138.391631	     -1.00	     49.74	   1333.65	     13.09	      9.55	     -1.00	     -1.00	0.10	 2.316e+01	    -10.73	Gaussian	0.000000	0.000000
7	1	 49.187636	158.997324	     -1.00	   1226.73	   1272.04	     13.11	      7.86	     -1.00	     -1.00	-22.25	 6.313e+01	    -10.67	Gaussian	0.000000	0.000000
8	1	 19.656561	222.237645	     -1.00	   1985.46	   2146.47	      8.92	      7.31	     -1.00	     -1.00	67.72	 1.985e+01	    -10.54	Gaussian	0.000000	0.000000
9	1	139.056236	9219.749838	     -1.00	   1941.05	   1032.38	      4.65	      2.35	     -1.00	     -1.00	35.72	 2.772e+01	    -10.05	Gaussian	0.000000	0.000000
10	1	 34.230309	183.434992	     -1.00	   1401.32	   1329.96	      6.45	      6.01	     -1.00	     -1.00	-34.11	 2.989e+01	     -9.77	Gaussian	0.000000	0.000000
11	1	126.535166	539.684757	     -1.00	   2104.82	   1380.36	      3.31	      2.46	     -1.00	     -1.00	-36.42	 2.915e+01	     -9.47	Gaussian	0.000000	0.000000
12	1	124.598895	774.754278	     -1.00	   2109.03	   1371.49	      3.20	      2.02	     -1.00	     -1.00	-29.50	 4.195e+01	     -9.28	Gaussian	0.000000	0.000000
13	1	 63.098575	160.301583	     -1.00	    921.24	    722.65	      5.25	      3.78	     -1.00	     -1.00	55.54	 1.864e+01	     -8.89	Gaussian	0.000000	0.000000
14	1	118.380057	202.352244	     -1.00	   2112.68	   1362.99	      4.57	      2.32	     -1.00	     -1.00	-17.73	 5.203e+01	     -8.80	Gaussian	0.000000	0.000000
15	1	116.320317	169.578203	     -1.00	   1735.36	   1234.56	      4.13	      3.14	     -1.00	     -1.00	-41.05	 5.601e+01	     -8.79	Gaussian	0.000000	0.000000
16	1	129.837863	244.780317	     -1.00	   2115.87	   1354.90	      3.25	      2.40	     -1.00	     -1.00	-29.57	 4.143e+01	     -8.50	Gaussian	0.000000	0.000000
17	1	104.878237	236.014320	     -1.00	   2222.26	   1302.47	      3.50	      2.39	     -1.00	     -1.00	-60.31	 5.293e+01	     -8.31	Gaussian	0.000000	0.000000
18	1	133.291125	138.439688	     -1.00	   2392.05	   1388.25	      3.52	      2.31	     -1.00	     -1.00	21.30	 2.480e+01	     -7.80	Gaussian	0.000000	0.000000
19	1	124.521206	 92.272964	     -1.00	   1133.43	   2292.42	      4.46	      2.78	     -1.00	     -1.00	-28.13	 1.289e+01	     -7.78	Gaussian	0.000000	0.000000
20	1	124.357832	 62.529848	     -1.00	    253.61	   2322.73	      5.38	      3.04	     -1.00	     -1.00	-0.78	 1.009e+01	     -7.66	Gaussian	0.000000	0.000000
