# 24 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	119.039122	431.725604	     -1.00	   2506.65	   1021.22	      3.56	      2.01	     -1.00	     -1.00	15.10	 4.333e+01	    -16.96	Gaussian	0.000000	0.000000
2	1	149.407509	197.711089	     -1.00	    696.38	   1925.07	     13.02	     12.23	     -1.00	     -1.00	-72.10	 4.741e+01	    -14.74	Gaussian	0.000000	0.000000
3	1	128.813517	143.391829	     -1.00	    183.70	   1819.22	      7.07	      5.62	     -1.00	     -1.00	-7.00	 2.503e+01	    -14.43	Gaussian	0.000000	0.000000
4	1	 90.642077	162.550154	     -1.00	   2268.35	   1329.52	      5.37	      4.92	     -1.00	     -1.00	76.74	 4.582e+01	    -12.66	Gaussian	0.000000	0.000000
5	1	154.631766	216.110162	     -1.00	    385.86	   1913.31	      7.60	      4.28	     -1.00	     -1.00	-79.00	 1.406e+01	    -11.69	Gaussian	0.000000	0.000000
6	1	 52.780945	138.865979	     -1.00	     43.77	   1355.82	     12.97	      9.60	     -1.00	     -1.00	-1.83	 2.353e+01	    -10.73	Gaussian	0.000000	0.000000
7	1	 20.316658	220.718639	     -1.00	   1982.11	   2164.95	      8.93	      7.19	     -1.00	     -1.00	66.64	 2.124e+01	    -10.52	Gaussian	0.000000	0.000000
8	1	138.382181	20192.209337	     -1.00	   1937.73	   1056.20	      4.41	      2.22	     -1.00	     -1.00	37.63	 2.620e+01	    -10.13	Gaussian	0.000000	0.000000
9	1	121.223962	1237.739803	     -1.00	   2100.54	   1407.42	      3.46	      2.14	     -1.00	     -1.00	-33.31	 3.198e+01	     -9.76	Gaussian	0.000000	0.000000
10	1	 77.518989	231.987497	     -1.00	   2348.87	   1368.86	      4.16	      2.31	     -1.00	     -1.00	33.17	 4.877e+01	     -9.63	Gaussian	0.000000	0.000000
11	1	100.911861	198.296337	     -1.00	   3099.32	   1406.83	      6.65	      3.36	     -1.00	     -1.00	-9.22	 4.454e+01	     -9.58	Gaussian	0.000000	0.000000
12	1	146.592450	157.162880	     -1.00	   2080.24	   1436.37	      3.85	      2.73	     -1.00	     -1.00	-16.71	 4.757e+01	     -9.48	Gaussian	0.000000	0.000000
13	1	 74.638367	176.125357	     -1.00	   2338.70	   1407.36	      5.98	      4.40	     -1.00	     -1.00	75.43	 4.169e+01	     -9.31	Gaussian	0.000000	0.000000
14	1	 61.568085	189.306828	     -1.00	   1203.24	   1046.34	      5.67	      3.85	     -1.00	     -1.00	72.01	 9.229e+00	     -9.18	Gaussian	0.000000	0.000000
15	1	113.548023	-11.766277	     -1.00	   2015.93	   1179.97	     14.52	      8.00	     -1.00	     -1.00	71.56	 5.195e+01	     -9.13	Gaussian	0.000000	0.000000
16	1	122.691505	207.508300	     -1.00	   2112.49	   1380.09	      3.90	      2.86	     -1.00	     -1.00	-47.04	 4.685e+01	     -8.77	Gaussian	0.000000	0.000000
17	1	 81.843265	193.464543	     -1.00	   1976.14	   1528.79	      4.01	      3.16	     -1.00	     -1.00	55.31	 6.454e+01	     -8.61	Gaussian	0.000000	0.000000
18	1	 99.876358	167.622863	     -1.00	   2355.38	   1404.31	      4.33	      2.60	     -1.00	     -1.00	55.50	 4.480e+01	     -8.61	Gaussian	0.000000	0.000000
19	1	113.557287	 97.966070	     -1.00	   1178.36	   1261.72	      6.01	      4.03	     -1.00	     -1.00	-75.80	 1.702e+01	     -8.58	Gaussian	0.000000	0.000000
20	1	126.906164	178.851763	     -1.00	   2115.90	   1371.50	      3.50	      3.28	     -1.00	     -1.00	-30.28	 3.604e+01	     -8.56	Gaussian	0.000000	0.000000
21	1	 96.808655	151.363143	     -1.00	   3221.34	   1449.10	      5.08	      2.91	     -1.00	     -1.00	73.40	 2.145e+01	     -8.51	Gaussian	0.000000	0.000000
22	1	 89.352366	219.347141	     -1.00	   1811.31	   1177.40	      3.46	      2.36	     -1.00	     -1.00	-9.46	 3.478e+01	     -8.49	Gaussian	0.000000	0.000000
23	1	135.054944	160.164867	     -1.00	   2088.78	   1426.34	      5.28	      3.85	     -1.00	     -1.00	-18.83	 4.227e+01	     -8.23	Gaussian	0.000000	0.000000
24	1	110.233017	202.847792	     -1.00	   2220.59	   1323.69	      3.32	      2.06	     -1.00	     -1.00	-72.31	 5.187e+01	     -7.96	Gaussian	0.000000	0.000000
