# 19 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	135.136483	272.341526	     -1.00	   2278.97	   1543.99	     14.55	      8.61	     -1.00	     -1.00	11.58	 1.912e+01	    -12.63	Gaussian	0.000000	0.000000
2	1	169.476114	172.237469	     -1.00	    870.62	   1712.96	      3.58	      2.44	     -1.00	     -1.00	-65.67	 2.818e+01	    -12.50	Gaussian	0.000000	0.000000
3	1	132.630879	994.583412	     -1.00	   2265.91	   1516.78	      8.72	      5.13	     -1.00	     -1.00	-12.90	 2.508e+01	    -12.01	Gaussian	0.000000	0.000000
4	1	 53.684342	141.379780	     -1.00	     46.15	   1353.64	     12.31	      9.47	     -1.00	     -1.00	-1.36	 2.358e+01	    -10.68	Gaussian	0.000000	0.000000
5	1	 19.323708	225.329658	     -1.00	   1984.96	   2153.25	      8.86	      7.33	     -1.00	     -1.00	66.76	 1.927e+01	    -10.55	Gaussian	0.000000	0.000000
6	1	139.435493	270.758574	     -1.00	   1938.11	   1056.31	      4.95	      4.29	     -1.00	     -1.00	79.48	 2.863e+01	     -9.88	Gaussian	0.000000	0.000000
7	1	 33.620042	181.767001	     -1.00	   1398.84	   1349.98	      6.22	      6.22	     -1.00	     -1.00	-86.78	 3.013e+01	     -9.75	Gaussian	0.000000	0.000000
8	1	101.469650	425.873355	     -1.00	   1740.43	   1256.60	      3.16	      2.55	     -1.00	     -1.00	-42.98	 5.382e+01	     -9.54	Gaussian	0.000000	0.000000
9	1	 77.522515	163.598607	     -1.00	   2346.60	   1404.40	      6.37	      4.58	     -1.00	     -1.00	84.37	 4.317e+01	     -9.42	Gaussian	0.000000	0.000000
10	1	 85.226080	221.189826	     -1.00	   2356.07	   1364.35	      3.58	      2.60	     -1.00	     -1.00	39.46	 4.836e+01	     -9.38	Gaussian	0.000000	0.000000
11	1	121.806286	409.504737	     -1.00	   2107.44	   1391.82	      3.94	      2.17	     -1.00	     -1.00	-27.86	 4.247e+01	     -9.29	Gaussian	0.000000	0.000000
12	1	130.460148	171.054719	     -1.00	   2373.67	   1433.74	      4.78	      3.79	     -1.00	     -1.00	-47.39	 5.202e+01	     -8.97	Gaussian	0.000000	0.000000
13	1	116.988710	186.938547	     -1.00	   2111.34	   1382.77	      4.28	      2.33	     -1.00	     -1.00	-29.38	 4.840e+01	     -8.90	Gaussian	0.000000	0.000000
14	1	 63.439736	155.824649	     -1.00	    906.27	    746.59	      5.18	      3.80	     -1.00	     -1.00	57.45	 1.891e+01	     -8.85	Gaussian	0.000000	0.000000
15	1	 81.746859	216.823469	     -1.00	   2230.29	   1361.49	      3.85	      2.71	     -1.00	     -1.00	73.94	 4.822e+01	     -8.52	Gaussian	0.000000	0.000000
16	1	 52.920459	183.537472	     -1.00	   2125.07	   1507.89	      2.82	      2.53	     -1.00	     -1.00	32.05	 2.973e+01	     -8.48	Gaussian	0.000000	0.000000
17	1	106.774826	164.882135	     -1.00	   2220.79	   1323.16	      3.34	      3.34	     -1.00	     -1.00	-80.70	 5.300e+01	     -8.44	Gaussian	0.000000	0.000000
18	1	 86.844656	149.119631	     -1.00	   3463.94	   1516.58	      4.33	      2.91	     -1.00	     -1.00	12.51	 1.687e+01	     -8.32	Gaussian	0.000000	0.000000
19	1	130.358625	217.012093	     -1.00	   2113.65	   1375.20	      2.22	      1.88	     -1.00	     -1.00	-43.00	 4.255e+01	     -7.77	Gaussian	0.000000	0.000000
