# 24 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	101.162684	242.594962	     -1.00	    873.44	    920.23	     11.80	     11.71	     -1.00	     -1.00	-5.64	 6.984e+01	    -13.01	Gaussian	0.000000	0.000000
2	1	159.613996	433.598493	     -1.00	    888.58	    950.23	      4.06	      3.91	     -1.00	     -1.00	-5.38	 4.621e+01	    -11.83	Gaussian	0.000000	0.000000
3	1	 38.789662	168.542186	     -1.00	   1222.59	   1293.07	     14.12	      8.35	     -1.00	     -1.00	-22.97	 4.869e+01	    -10.89	Gaussian	0.000000	0.000000
4	1	 86.332083	244.851654	     -1.00	    377.37	   1498.33	     10.06	      6.63	     -1.00	     -1.00	3.43	 2.829e+01	    -10.73	Gaussian	0.000000	0.000000
5	1	 53.482620	141.466867	     -1.00	     44.23	   1354.93	     12.31	      9.58	     -1.00	     -1.00	1.39	 2.351e+01	    -10.69	Gaussian	0.000000	0.000000
6	1	 20.500435	221.479249	     -1.00	   1984.35	   2167.73	      8.65	      7.27	     -1.00	     -1.00	63.12	 2.106e+01	    -10.49	Gaussian	0.000000	0.000000
7	1	159.426149	425.853643	     -1.00	    597.14	   1865.11	      3.11	      2.89	     -1.00	     -1.00	-67.12	 2.771e+01	    -10.46	Gaussian	0.000000	0.000000
8	1	 92.783817	113.076317	     -1.00	   3066.16	   1632.46	      8.21	      8.09	     -1.00	     -1.00	47.57	 1.921e+01	     -9.82	Gaussian	0.000000	0.000000
9	1	123.578475	282.735023	     -1.00	   2101.56	   1405.56	      4.45	      2.75	     -1.00	     -1.00	-34.03	 3.347e+01	     -9.70	Gaussian	0.000000	0.000000
10	1	144.278100	1006.058152	     -1.00	   2081.70	   1433.94	      4.00	      2.16	     -1.00	     -1.00	-28.08	 4.377e+01	     -9.62	Gaussian	0.000000	0.000000
11	1	 80.230672	157.302573	     -1.00	   3139.13	   1509.54	      5.73	      3.14	     -1.00	     -1.00	16.46	 5.964e+01	     -9.58	Gaussian	0.000000	0.000000
12	1	 81.473617	414.990358	     -1.00	   2351.69	   1367.84	      3.46	      3.18	     -1.00	     -1.00	22.08	 4.908e+01	     -9.55	Gaussian	0.000000	0.000000
13	1	 76.712206	174.871790	     -1.00	   2340.88	   1406.87	      6.60	      4.12	     -1.00	     -1.00	79.43	 4.058e+01	     -9.36	Gaussian	0.000000	0.000000
14	1	 50.152463	164.933043	     -1.00	   1397.20	   1351.23	      5.56	      5.17	     -1.00	     -1.00	-78.10	 3.809e+01	     -9.33	Gaussian	0.000000	0.000000
15	1	 97.453597	194.723033	     -1.00	   1737.01	   1257.75	      5.53	      2.93	     -1.00	     -1.00	-77.12	 5.133e+01	     -9.30	Gaussian	0.000000	0.000000
16	1	 61.518387	193.732074	     -1.00	   1203.11	   1043.52	      5.75	      3.76	     -1.00	     -1.00	71.14	 9.172e+00	     -9.19	Gaussian	0.000000	0.000000
17	1	 84.519985	189.393484	     -1.00	   1810.40	   1175.15	      4.95	      3.19	     -1.00	     -1.00	-14.72	 3.007e+01	     -8.92	Gaussian	0.000000	0.000000
18	1	121.732039	175.484423	     -1.00	   2113.21	   1378.51	      2.99	      2.95	     -1.00	     -1.00	-62.90	 4.447e+01	     -8.91	Gaussian	0.000000	0.000000
19	1	111.662827	242.479830	     -1.00	   2004.20	   1204.21	      3.73	      2.98	     -1.00	     -1.00	-43.02	 4.866e+01	     -8.83	Gaussian	0.000000	0.000000
20	1	116.567027	178.121469	     -1.00	   1729.27	   1256.57	      4.44	      2.74	     -1.00	     -1.00	-67.47	 5.948e+01	     -8.80	Gaussian	0.000000	0.000000
21	1	 75.144586	179.469014	     -1.00	   1988.13	   1529.62	      4.17	      3.12	     -1.00	     -1.00	-12.63	 6.525e+01	     -8.55	Gaussian	0.000000	0.000000
22	1	 86.297708	193.165270	     -1.00	   1976.09	   1529.14	      3.95	      2.99	     -1.00	     -1.00	70.38	 6.318e+01	     -8.53	Gaussian	0.000000	0.000000
23	1	101.799636	162.128990	     -1.00	   2357.54	   1403.87	      3.27	      2.89	     -1.00	     -1.00	72.79	 4.450e+01	     -8.31	Gaussian	0.000000	0.000000
24	1	121.571473	 65.259072	     -1.00	   1165.02	   2311.13	      4.81	      2.50	     -1.00	     -1.00	88.34	 1.284e+01	     -7.37	Gaussian	0.000000	0.000000
