# 22 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	117.816344	157.000000	     -1.00	   2111.00	    874.00	      8.00	      4.00	     -1.00	     -1.00	-0.00	 2.998e+01	    -17.89	Gaussian	0.000000	0.000000
2	1	 61.181545	195.081982	     -1.00	    163.39	   1083.70	     17.89	     16.84	     -1.00	     -1.00	10.01	 6.461e+01	    -16.24	Gaussian	0.000000	0.000000
3	1	119.341182	163.304541	     -1.00	    266.98	   2098.55	     44.67	     36.18	     -1.00	     -1.00	-5.17	 5.900e+01	    -15.75	Gaussian	0.000000	0.000000
4	1	156.845176	389.969000	     -1.00	    243.92	   1960.39	      3.86	      3.86	     -1.00	     -1.00	81.24	 1.972e+01	    -11.38	Gaussian	0.000000	0.000000
5	1	 39.082188	168.353130	     -1.00	   1219.30	   1300.40	     14.18	      8.26	     -1.00	     -1.00	-21.52	 4.848e+01	    -10.90	Gaussian	0.000000	0.000000
6	1	 52.308634	139.869328	     -1.00	     39.50	   1361.70	     12.71	      9.66	     -1.00	     -1.00	-2.59	 2.324e+01	    -10.72	Gaussian	0.000000	0.000000
7	1	 20.721272	222.575310	     -1.00	   1979.62	   2170.89	      8.75	      7.20	     -1.00	     -1.00	65.16	 2.158e+01	    -10.50	Gaussian	0.000000	0.000000
8	1	 93.954131	1252.330419	     -1.00	   2308.05	   1327.48	      3.18	      2.53	     -1.00	     -1.00	50.80	 6.045e+01	     -9.97	Gaussian	0.000000	0.000000
9	1	 80.862228	279.285664	     -1.00	   2343.65	   1372.14	      3.54	      2.20	     -1.00	     -1.00	36.97	 4.677e+01	     -9.54	Gaussian	0.000000	0.000000
10	1	 49.688844	165.801809	     -1.00	   1393.87	   1358.49	      5.85	      5.48	     -1.00	     -1.00	-50.98	 4.120e+01	     -9.45	Gaussian	0.000000	0.000000
11	1	116.671334	458.516503	     -1.00	   2106.57	   1394.60	      3.23	      2.47	     -1.00	     -1.00	-32.12	 4.668e+01	     -9.37	Gaussian	0.000000	0.000000
12	1	 67.836267	164.551376	     -1.00	   2162.18	   1508.12	      7.66	      3.90	     -1.00	     -1.00	4.60	 4.360e+01	     -9.36	Gaussian	0.000000	0.000000
13	1	 74.809761	180.653826	     -1.00	   2335.08	   1411.12	      6.22	      4.08	     -1.00	     -1.00	75.94	 4.141e+01	     -9.30	Gaussian	0.000000	0.000000
14	1	136.142731	997.079202	     -1.00	   2102.59	   1403.45	      2.82	      1.89	     -1.00	     -1.00	-25.00	 2.322e+01	     -9.27	Gaussian	0.000000	0.000000
15	1	 39.961857	260.838537	     -1.00	   1550.48	   1270.96	      3.92	      2.08	     -1.00	     -1.00	-20.38	 5.654e+01	     -9.26	Gaussian	0.000000	0.000000
16	1	 61.287208	194.223039	     -1.00	   1201.38	   1052.34	      5.71	      3.88	     -1.00	     -1.00	69.85	 9.290e+00	     -9.22	Gaussian	0.000000	0.000000
17	1	 40.267323	186.104492	     -1.00	   3231.22	    797.21	      1.79	      1.75	     -1.00	     -1.00	-85.32	 4.077e+01	     -9.04	Gaussian	0.000000	0.000000
18	1	112.027865	165.564172	     -1.00	   2081.70	   1288.80	      5.07	      2.64	     -1.00	     -1.00	79.68	 6.247e+01	     -8.94	Gaussian	0.000000	0.000000
19	1	 84.312549	175.689437	     -1.00	   1975.51	   1533.94	      4.09	      3.10	     -1.00	     -1.00	67.52	 6.355e+01	     -8.64	Gaussian	0.000000	0.000000
20	1	117.234818	100.864226	     -1.00	   1176.24	   1267.10	      5.43	      3.94	     -1.00	     -1.00	-78.13	 8.067e+00	     -8.47	Gaussian	0.000000	0.000000
21	1	100.860869	191.220004	     -1.00	   3253.03	   1458.47	      3.76	      2.90	     -1.00	     -1.00	66.34	 1.762e+01	     -8.41	Gaussian	0.000000	0.000000
22	1	118.744303	-17.976597	     -1.00	   2013.03	   1181.49	     13.37	      7.38	     -1.00	     -1.00	82.32	 5.252e+01	     -6.64	Gaussian	0.000000	0.000000
