# 23 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	 89.805603	283.589639	     -1.00	   2312.27	   1140.01	     15.42	     14.86	     -1.00	     -1.00	32.50	 4.345e+01	    -14.69	Gaussian	0.000000	0.000000
2	1	133.365647	203.259452	     -1.00	   2274.64	   1523.00	     13.60	      7.93	     -1.00	     -1.00	1.17	 2.208e+01	    -12.45	Gaussian	0.000000	0.000000
3	1	 53.375338	139.485750	     -1.00	     52.82	   1350.30	     12.71	      9.44	     -1.00	     -1.00	-2.27	 2.324e+01	    -10.69	Gaussian	0.000000	0.000000
4	1	 20.051969	226.351830	     -1.00	   1990.69	   2155.65	      8.73	      7.23	     -1.00	     -1.00	64.90	 2.005e+01	    -10.52	Gaussian	0.000000	0.000000
5	1	 30.193511	226.657507	     -1.00	   1331.33	   1359.08	      9.10	      5.02	     -1.00	     -1.00	73.94	 3.374e+01	    -10.17	Gaussian	0.000000	0.000000
6	1	139.575525	146639.105999	     -1.00	   1943.78	   1046.92	      3.74	      1.99	     -1.00	     -1.00	36.01	 2.585e+01	    -10.05	Gaussian	0.000000	0.000000
7	1	 34.475228	185.158323	     -1.00	   1404.85	   1345.47	      6.32	      6.13	     -1.00	     -1.00	-49.73	 3.031e+01	     -9.77	Gaussian	0.000000	0.000000
8	1	 92.368174	137.831458	     -1.00	   3213.49	   1673.17	      7.65	      6.27	     -1.00	     -1.00	-74.44	 2.110e+01	     -9.69	Gaussian	0.000000	0.000000
9	1	 71.298417	180.681548	     -1.00	    458.90	   1489.10	      3.78	      3.54	     -1.00	     -1.00	-5.37	 4.147e+01	     -9.40	Gaussian	0.000000	0.000000
10	1	116.218699	502.584287	     -1.00	   2116.35	   1374.62	      2.69	      2.69	     -1.00	     -1.00	-71.24	 4.715e+01	     -9.38	Gaussian	0.000000	0.000000
11	1	 90.145135	195.129462	     -1.00	   2927.70	   1574.49	      3.64	      2.99	     -1.00	     -1.00	-7.20	 2.780e+01	     -9.33	Gaussian	0.000000	0.000000
12	1	102.542085	167.995310	     -1.00	   2268.06	   1323.78	      6.09	      3.50	     -1.00	     -1.00	87.26	 5.619e+01	     -9.30	Gaussian	0.000000	0.000000
13	1	106.063125	180.942614	     -1.00	   1954.64	   1585.50	      5.93	      3.51	     -1.00	     -1.00	-53.22	 4.258e+01	     -9.15	Gaussian	0.000000	0.000000
14	1	103.056631	186.744703	     -1.00	   1747.44	   1248.32	      4.32	      3.41	     -1.00	     -1.00	-16.18	 5.347e+01	     -9.13	Gaussian	0.000000	0.000000
15	1	134.498877	176.405685	     -1.00	   2108.53	   1391.40	      4.70	      2.77	     -1.00	     -1.00	-30.06	 4.053e+01	     -8.76	Gaussian	0.000000	0.000000
16	1	130.835524	181.531972	     -1.00	   1081.99	   1817.68	      3.81	      3.56	     -1.00	     -1.00	-84.88	 1.538e+01	     -8.57	Gaussian	0.000000	0.000000
17	1	129.172479	173.942726	     -1.00	   2119.03	   1366.73	      3.33	      2.67	     -1.00	     -1.00	-35.21	 4.101e+01	     -8.55	Gaussian	0.000000	0.000000
18	1	119.771976	181.438746	     -1.00	   2374.01	   1337.31	      4.39	      2.97	     -1.00	     -1.00	14.14	 3.351e+01	     -8.54	Gaussian	0.000000	0.000000
19	1	 75.171394	217.723400	     -1.00	   2978.94	   1446.55	      3.43	      2.91	     -1.00	     -1.00	68.19	 4.912e+01	     -8.48	Gaussian	0.000000	0.000000
20	1	 98.907414	177.763316	     -1.00	   2224.18	   1315.33	      4.24	      2.13	     -1.00	     -1.00	-67.21	 5.194e+01	     -8.15	Gaussian	0.000000	0.000000
21	1	133.286505	166.305646	     -1.00	   2390.91	   1399.81	      3.21	      2.03	     -1.00	     -1.00	16.11	 2.909e+01	     -7.68	Gaussian	0.000000	0.000000
22	1	114.728663	133.143280	     -1.00	   3012.31	   1186.84	      3.39	      2.10	     -1.00	     -1.00	85.60	 2.073e+01	     -7.58	Gaussian	0.000000	0.000000
23	1	105.633996	156.673259	     -1.00	   2898.42	   1166.89	      2.41	      2.41	     -1.00	     -1.00	37.12	 1.423e+01	     -7.54	Gaussian	0.000000	0.000000
