# 17 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	138.319908	205.329505	     -1.00	    593.86	   1936.31	     11.43	     10.36	     -1.00	     -1.00	-81.51	 4.473e+01	    -14.13	Gaussian	0.000000	0.000000
2	1	133.993245	228.876069	     -1.00	   2276.39	   1515.90	     13.63	      7.27	     -1.00	     -1.00	5.46	 2.083e+01	    -12.51	Gaussian	0.000000	0.000000
3	1	126.430231	179.577854	     -1.00	   2294.44	   1548.57	     17.15	     12.26	     -1.00	     -1.00	11.37	 2.551e+01	    -12.38	Gaussian	0.000000	0.000000
4	1	 53.619629	138.732763	     -1.00	     51.42	   1335.57	     12.77	      9.40	     -1.00	     -1.00	-1.65	 2.353e+01	    -10.69	Gaussian	0.000000	0.000000
5	1	 19.517548	223.905252	     -1.00	   1986.52	   2135.74	      8.77	      7.28	     -1.00	     -1.00	62.56	 1.938e+01	    -10.52	Gaussian	0.000000	0.000000
6	1	 98.216041	165.468171	     -1.00	   2794.08	   1167.41	      8.67	      6.56	     -1.00	     -1.00	-8.72	 3.332e+01	    -10.10	Gaussian	0.000000	0.000000
7	1	 35.083289	187.951183	     -1.00	   1403.05	   1331.87	      6.40	      5.87	     -1.00	     -1.00	-30.12	 2.915e+01	     -9.76	Gaussian	0.000000	0.000000
8	1	128.187282	207.515645	     -1.00	   2106.12	   1380.56	      3.58	      3.38	     -1.00	     -1.00	89.45	 3.218e+01	     -9.39	Gaussian	0.000000	0.000000
9	1	100.684365	206.041477	     -1.00	   1744.18	   1237.19	      4.63	      3.29	     -1.00	     -1.00	-62.52	 5.457e+01	     -9.20	Gaussian	0.000000	0.000000
10	1	 63.815433	149.241967	     -1.00	    926.70	    735.77	      5.66	      4.27	     -1.00	     -1.00	51.85	 2.162e+01	     -9.03	Gaussian	0.000000	0.000000
11	1	118.707337	228.466988	     -1.00	   2114.28	   1363.27	      4.22	      2.48	     -1.00	     -1.00	-17.08	 5.126e+01	     -8.93	Gaussian	0.000000	0.000000
12	1	 53.198029	205.938044	     -1.00	   2125.28	   1488.23	      4.31	      2.21	     -1.00	     -1.00	30.35	 2.880e+01	     -8.84	Gaussian	0.000000	0.000000
13	1	128.722775	182.358091	     -1.00	   2117.21	   1355.32	      4.00	      2.57	     -1.00	     -1.00	-38.04	 4.147e+01	     -8.65	Gaussian	0.000000	0.000000
14	1	111.475321	183.870757	     -1.00	   2395.22	   1421.00	      4.41	      2.82	     -1.00	     -1.00	89.44	 3.601e+01	     -8.53	Gaussian	0.000000	0.000000
15	1	147.973609	158.962247	     -1.00	   3047.09	   1384.61	      2.39	      2.01	     -1.00	     -1.00	48.74	 5.947e+01	     -8.18	Gaussian	0.000000	0.000000
16	1	131.892634	174.872397	     -1.00	   2119.20	   1347.44	      2.39	      2.39	     -1.00	     -1.00	-3.92	 3.446e+01	     -8.00	Gaussian	0.000000	0.000000
17	1	111.857827	207.791498	     -1.00	   3014.98	   1176.68	      2.78	      2.00	     -1.00	     -1.00	77.16	 2.179e+01	     -7.74	Gaussian	0.000000	0.000000
