# 17 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	 78.898854	165.646046	     -1.00	     39.63	   1532.04	     23.64	     13.32	     -1.00	     -1.00	57.35	 4.516e+01	    -12.45	Gaussian	0.000000	0.000000
2	1	132.554256	195.639497	     -1.00	   2276.79	   1521.21	     13.01	      7.09	     -1.00	     -1.00	-9.23	 2.333e+01	    -12.41	Gaussian	0.000000	0.000000
3	1	 19.428488	227.273711	     -1.00	   1992.79	   2160.60	      8.84	      7.27	     -1.00	     -1.00	66.51	 1.899e+01	    -10.55	Gaussian	0.000000	0.000000
4	1	 51.108817	127.093603	     -1.00	     55.62	   1352.58	     11.42	      9.45	     -1.00	     -1.00	-6.59	 2.191e+01	    -10.48	Gaussian	0.000000	0.000000
5	1	138.004630	17595.950032	     -1.00	   1944.16	   1047.37	      4.39	      2.28	     -1.00	     -1.00	35.92	 2.688e+01	    -10.19	Gaussian	0.000000	0.000000
6	1	 34.755919	184.283605	     -1.00	   1407.00	   1347.80	      6.26	      6.26	     -1.00	     -1.00	10.89	 2.891e+01	     -9.78	Gaussian	0.000000	0.000000
7	1	 96.934766	165.504429	     -1.00	   2271.45	   1323.95	      6.32	      5.11	     -1.00	     -1.00	78.89	 5.225e+01	     -9.76	Gaussian	0.000000	0.000000
8	1	 65.148601	174.008885	     -1.00	   3211.39	   1450.98	      6.29	      4.66	     -1.00	     -1.00	12.67	 5.376e+01	     -9.46	Gaussian	0.000000	0.000000
9	1	101.651233	177.327094	     -1.00	   1749.48	   1249.64	      4.72	      3.49	     -1.00	     -1.00	-12.58	 5.356e+01	     -9.10	Gaussian	0.000000	0.000000
10	1	132.673448	167.874165	     -1.00	   2110.99	   1392.33	      4.43	      2.96	     -1.00	     -1.00	-36.49	 3.908e+01	     -8.94	Gaussian	0.000000	0.000000
11	1	 88.388050	294.671155	     -1.00	   2915.06	   1570.69	      4.96	      3.02	     -1.00	     -1.00	70.72	 3.331e+01	     -8.90	Gaussian	0.000000	0.000000
12	1	125.151117	180.288866	     -1.00	   2106.57	   1400.20	      4.53	      2.29	     -1.00	     -1.00	-15.13	 3.956e+01	     -8.83	Gaussian	0.000000	0.000000
13	1	128.606626	314.691680	     -1.00	   2121.14	   1367.89	      2.88	      2.10	     -1.00	     -1.00	-52.20	 3.989e+01	     -8.59	Gaussian	0.000000	0.000000
14	1	 89.660694	100.554877	     -1.00	   3054.48	    932.48	      5.83	      3.28	     -1.00	     -1.00	-55.99	 9.603e+00	     -8.35	Gaussian	0.000000	0.000000
15	1	104.544205	176.099124	     -1.00	   1976.03	   1520.18	      4.29	      2.33	     -1.00	     -1.00	80.85	 5.962e+01	     -8.25	Gaussian	0.000000	0.000000
16	1	120.524272	 65.704261	     -1.00	   1210.33	   2299.41	      5.50	      4.10	     -1.00	     -1.00	-88.24	 1.239e+01	     -8.06	Gaussian	0.000000	0.000000
17	1	 92.294023	169.861770	     -1.00	   2817.90	   1469.29	      4.03	      2.16	     -1.00	     -1.00	10.83	 3.609e+01	     -8.06	Gaussian	0.000000	0.000000
