# 16 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	130.767035	418.291271	     -1.00	   1114.32	   1705.41	     62.25	     37.17	     -1.00	     -1.00	-40.75	 2.473e+01	    -16.77	Gaussian	0.000000	0.000000
2	1	129.817729	217.919123	     -1.00	   2283.12	   1549.28	     16.92	     10.13	     -1.00	     -1.00	10.06	 2.456e+01	    -12.44	Gaussian	0.000000	0.000000
3	1	 38.239258	168.014287	     -1.00	   1223.60	   1284.38	     14.23	      8.30	     -1.00	     -1.00	-21.29	 4.810e+01	    -10.89	Gaussian	0.000000	0.000000
4	1	 52.735844	135.544215	     -1.00	     45.90	   1345.14	     13.26	      9.57	     -1.00	     -1.00	-3.53	 2.363e+01	    -10.72	Gaussian	0.000000	0.000000
5	1	 19.754050	221.386132	     -1.00	   1983.96	   2154.86	      8.92	      7.38	     -1.00	     -1.00	69.20	 2.022e+01	    -10.54	Gaussian	0.000000	0.000000
6	1	 43.378107	175.760864	     -1.00	   1397.95	   1342.10	      5.78	      5.50	     -1.00	     -1.00	-54.48	 3.588e+01	     -9.50	Gaussian	0.000000	0.000000
7	1	 87.117095	183.879130	     -1.00	   2965.49	   1591.51	      6.40	      4.31	     -1.00	     -1.00	38.07	 4.109e+01	     -9.45	Gaussian	0.000000	0.000000
8	1	125.371912	442.053135	     -1.00	   2102.05	   1395.59	      3.38	      2.60	     -1.00	     -1.00	-31.98	 2.980e+01	     -9.45	Gaussian	0.000000	0.000000
9	1	 77.981470	177.791806	     -1.00	   2343.25	   1398.73	      5.97	      3.90	     -1.00	     -1.00	87.99	 4.450e+01	     -9.24	Gaussian	0.000000	0.000000
10	1	 60.039494	199.248860	     -1.00	   1205.18	   1035.29	      5.83	      3.78	     -1.00	     -1.00	71.59	 1.155e+01	     -9.24	Gaussian	0.000000	0.000000
11	1	123.436660	647.919628	     -1.00	   2106.47	   1386.37	      3.29	      2.16	     -1.00	     -1.00	-22.16	 3.861e+01	     -9.15	Gaussian	0.000000	0.000000
12	1	 97.142846	188.567701	     -1.00	   2769.41	   1346.27	      3.09	      3.09	     -1.00	     -1.00	-65.96	 4.136e+01	     -8.55	Gaussian	0.000000	0.000000
13	1	 97.496336	179.723309	     -1.00	   1973.50	   1520.41	      3.63	      2.64	     -1.00	     -1.00	63.81	 6.581e+01	     -8.23	Gaussian	0.000000	0.000000
14	1	123.733738	169.362281	     -1.00	   2113.20	   1368.98	      2.97	      2.29	     -1.00	     -1.00	-23.12	 4.412e+01	     -8.14	Gaussian	0.000000	0.000000
15	1	107.759851	164.927929	     -1.00	   2222.42	   1315.46	      3.31	      2.41	     -1.00	     -1.00	12.85	 5.184e+01	     -7.69	Gaussian	0.000000	0.000000
16	1	171.624172	 -0.515068	     -1.00	   1586.10	   1155.90	      6.37	      4.58	     -1.00	     -1.00	0.36	 5.114e+01	     -5.96	Gaussian	0.000000	0.000000
