# 23 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	127.550541	210.890572	     -1.00	   2287.72	   1554.72	     17.34	     10.76	     -1.00	     -1.00	6.43	 2.572e+01	    -12.36	Gaussian	0.000000	0.000000
2	1	 41.549468	165.360019	     -1.00	   1223.51	   1285.50	     13.92	      8.19	     -1.00	     -1.00	-23.03	 5.038e+01	    -10.86	Gaussian	0.000000	0.000000
3	1	 52.938390	141.188595	     -1.00	     46.35	   1348.72	     12.62	      9.43	     -1.00	     -1.00	3.36	 2.355e+01	    -10.70	Gaussian	0.000000	0.000000
4	1	 20.436049	224.305542	     -1.00	   1987.03	   2163.45	      8.68	      7.20	     -1.00	     -1.00	62.16	 2.001e+01	    -10.50	Gaussian	0.000000	0.000000
5	1	 92.454511	109.265828	     -1.00	   3079.75	   1626.93	     11.53	      8.83	     -1.00	     -1.00	-70.66	 1.956e+01	    -10.25	Gaussian	0.000000	0.000000
6	1	 87.849822	118.629061	     -1.00	   3021.15	   1608.54	     11.19	      7.70	     -1.00	     -1.00	24.08	 2.041e+01	    -10.16	Gaussian	0.000000	0.000000
7	1	 41.513203	199.460326	     -1.00	   3232.93	    779.72	      4.74	      3.90	     -1.00	     -1.00	-50.93	 4.302e+01	    -10.00	Gaussian	0.000000	0.000000
8	1	 80.001295	258.969671	     -1.00	   2353.85	   1358.61	      4.81	      2.71	     -1.00	     -1.00	39.39	 4.777e+01	     -9.71	Gaussian	0.000000	0.000000
9	1	 92.710704	170.706136	     -1.00	   2988.18	   1598.33	      8.39	      4.32	     -1.00	     -1.00	23.82	 3.572e+01	     -9.70	Gaussian	0.000000	0.000000
10	1	122.260004	455.523988	     -1.00	   2102.86	   1396.09	      4.09	      2.57	     -1.00	     -1.00	-34.07	 3.128e+01	     -9.67	Gaussian	0.000000	0.000000
11	1	 83.018252	171.523774	     -1.00	   2343.32	   1398.39	      6.28	      3.87	     -1.00	     -1.00	74.94	 4.832e+01	     -9.46	Gaussian	0.000000	0.000000
12	1	 48.230206	167.620786	     -1.00	   1398.35	   1343.31	      5.63	      5.31	     -1.00	     -1.00	-70.51	 3.734e+01	     -9.39	Gaussian	0.000000	0.000000
13	1	 62.232550	194.019494	     -1.00	   1205.16	   1036.82	      5.69	      3.80	     -1.00	     -1.00	71.17	 8.587e+00	     -9.19	Gaussian	0.000000	0.000000
14	1	 84.478638	186.982794	     -1.00	   3049.05	   1618.54	      5.68	      3.84	     -1.00	     -1.00	-71.94	 2.592e+01	     -9.17	Gaussian	0.000000	0.000000
15	1	 83.930304	163.076892	     -1.00	   3141.24	   1500.85	      5.76	      2.90	     -1.00	     -1.00	17.47	 6.019e+01	     -9.11	Gaussian	0.000000	0.000000
16	1	 96.836881	121.608000	     -1.00	   3168.04	   1662.77	      5.70	      4.60	     -1.00	     -1.00	54.16	 2.209e+01	     -8.93	Gaussian	0.000000	0.000000
17	1	 99.664169	162.444794	     -1.00	   2360.73	   1395.69	      5.50	      3.12	     -1.00	     -1.00	58.19	 4.396e+01	     -8.83	Gaussian	0.000000	0.000000
18	1	118.625227	212.001608	     -1.00	   2114.17	   1369.47	      4.26	      2.45	     -1.00	     -1.00	-38.02	 4.133e+01	     -8.73	Gaussian	0.000000	0.000000
19	1	 85.814141	200.731866	     -1.00	   1810.88	   1167.89	      3.24	      2.87	     -1.00	     -1.00	-79.52	 3.252e+01	     -8.61	Gaussian	0.000000	0.000000
20	1	126.921286	214.430161	     -1.00	   2117.10	   1361.06	      3.03	      2.73	     -1.00	     -1.00	-54.68	 3.510e+01	     -8.55	Gaussian	0.000000	0.000000
21	1	 89.689664	193.626586	     -1.00	   1976.30	   1521.80	      4.00	      2.85	     -1.00	     -1.00	61.10	 6.392e+01	     -8.50	Gaussian	0.000000	0.000000
22	1	115.935881	-12.380428	     -1.00	   2019.30	   1171.23	     13.69	      6.88	     -1.00	     -1.00	81.89	 5.426e+01	     -8.45	Gaussian	0.000000	0.000000
23	1	110.272662	170.026251	     -1.00	   2221.47	   1314.06	      3.46	      2.64	     -1.00	     -1.00	-62.28	 5.173e+01	     -8.11	Gaussian	0.000000	0.000000
