# 16 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	 13.708566	347.144157	     -1.00	    135.53	    685.29	     14.50	     14.06	     -1.00	     -1.00	81.87	 2.843e+01	    -13.11	Gaussian	0.000000	0.000000
2	1	133.054303	207.290523	     -1.00	   2281.73	   1546.40	     15.75	      9.41	     -1.00	     -1.00	5.72	 2.058e+01	    -12.51	Gaussian	0.000000	0.000000
3	1	 42.604828	164.365361	     -1.00	   1223.96	   1286.55	     13.80	      8.09	     -1.00	     -1.00	-21.18	 5.467e+01	    -10.81	Gaussian	0.000000	0.000000
4	1	 53.759629	138.325380	     -1.00	     45.63	   1347.42	     12.56	      9.60	     -1.00	     -1.00	-0.57	 2.392e+01	    -10.69	Gaussian	0.000000	0.000000
5	1	 19.754232	222.612575	     -1.00	   1985.64	   2157.11	      8.89	      7.31	     -1.00	     -1.00	66.26	 1.972e+01	    -10.54	Gaussian	0.000000	0.000000
6	1	139.235252	279.554906	     -1.00	   1939.19	   1050.67	      1.45	      1.01	     -1.00	     -1.00	22.70	 2.729e+01	    -10.09	Gaussian	0.000000	0.000000
7	1	 34.822467	175.733366	     -1.00	   1398.64	   1344.06	      6.24	      6.06	     -1.00	     -1.00	-68.42	 3.064e+01	     -9.69	Gaussian	0.000000	0.000000
8	1	125.012225	577.143280	     -1.00	   2102.18	   1396.75	      3.37	      2.55	     -1.00	     -1.00	-36.76	 3.025e+01	     -9.46	Gaussian	0.000000	0.000000
9	1	122.392648	925.569022	     -1.00	   2106.64	   1387.48	      3.09	      2.02	     -1.00	     -1.00	-25.64	 3.768e+01	     -9.26	Gaussian	0.000000	0.000000
10	1	 80.205424	200.212354	     -1.00	   2946.74	   1584.64	      5.02	      3.46	     -1.00	     -1.00	69.29	 3.603e+01	     -9.00	Gaussian	0.000000	0.000000
11	1	119.796756	1223.385646	     -1.00	   2113.82	   1370.48	      2.76	      1.83	     -1.00	     -1.00	-33.86	 3.916e+01	     -8.96	Gaussian	0.000000	0.000000
12	1	 99.860891	166.489887	     -1.00	   2361.74	   1396.72	      5.62	      3.02	     -1.00	     -1.00	63.01	 4.407e+01	     -8.78	Gaussian	0.000000	0.000000
13	1	117.204559	239.141360	     -1.00	   1731.46	   1249.95	      2.91	      2.87	     -1.00	     -1.00	-3.70	 5.997e+01	     -8.77	Gaussian	0.000000	0.000000
14	1	126.543460	1265.024756	     -1.00	   2116.44	   1362.32	      2.13	      1.78	     -1.00	     -1.00	-45.42	 3.248e+01	     -8.75	Gaussian	0.000000	0.000000
15	1	 98.574884	188.095767	     -1.00	   1973.21	   1521.13	      3.56	      2.58	     -1.00	     -1.00	62.87	 6.730e+01	     -8.31	Gaussian	0.000000	0.000000
16	1	113.032931	 69.331511	     -1.00	    807.36	   2271.66	      5.09	      2.90	     -1.00	     -1.00	-84.54	 9.461e+00	     -7.66	Gaussian	0.000000	0.000000
