# 21 stars found using the following parameters:
# sigma=1.00 roundness=0.50 radius=5 relax=0 profile=0 minbeta=1.5 max_stars=2000 layer=1 minA=0.00 maxA=0.00 maxR=1.00
# star#	layer	B	A	beta	X	Y	FWHMx [px]	FWHMy [px]	FWHMx ["]	FWHMy ["]	angle	RMSE	mag	Profile	RA	Dec
1	1	131.319546	143.259672	     -1.00	   1713.71	   1881.40	     15.77	     14.03	     -1.00	     -1.00	-69.09	 1.576e+01	    -14.11	Gaussian	0.000000	0.000000
2	1	173.611631	-65.688299	     -1.00	   1043.75	   1659.19	     11.58	     10.75	     -1.00	     -1.00	-88.41	 2.796e+01	    -12.17	Gaussian	0.000000	0.000000
3	1	130.691171	2467.778238	     -1.00	   2264.48	   1499.49	      7.65	      4.34	     -1.00	     -1.00	-9.77	 2.744e+01	    -11.79	Gaussian	0.000000	0.000000
4	1	 89.316702	248.011020	     -1.00	    383.73	   1491.15	     10.72	      6.57	     -1.00	     -1.00	8.02	 2.972e+01	    -10.95	Gaussian	0.000000	0.000000
5	1	 26.528911	168.350961	     -1.00	   3307.01	   1265.68	     12.90	      9.25	     -1.00	     -1.00	-33.84	 2.302e+01	    -10.89	Gaussian	0.000000	0.000000
6	1	 53.450943	138.377547	     -1.00	     51.18	   1348.48	     12.76	      9.53	     -1.00	     -1.00	-3.02	 2.340e+01	    -10.70	Gaussian	0.000000	0.000000
7	1	 19.362383	224.520070	     -1.00	   1988.94	   2157.19	      8.87	      7.27	     -1.00	     -1.00	64.63	 1.940e+01	    -10.54	Gaussian	0.000000	0.000000
8	1	 94.550276	294.097414	     -1.00	   2944.97	   1579.49	      4.35	      3.00	     -1.00	     -1.00	7.75	 3.154e+01	     -9.87	Gaussian	0.000000	0.000000
9	1	 34.917401	182.898039	     -1.00	   1402.85	   1343.19	      6.35	      6.15	     -1.00	     -1.00	-58.29	 3.149e+01	     -9.77	Gaussian	0.000000	0.000000
10	1	 58.674105	131.161558	     -1.00	    933.07	    742.08	      7.76	      5.44	     -1.00	     -1.00	85.13	 2.507e+01	     -9.49	Gaussian	0.000000	0.000000
11	1	127.848031	1236.943286	     -1.00	   2106.88	   1390.14	      2.63	      2.17	     -1.00	     -1.00	-31.52	 3.389e+01	     -9.33	Gaussian	0.000000	0.000000
12	1	107.872212	178.286341	     -1.00	   2265.34	   1322.22	      5.62	      2.85	     -1.00	     -1.00	82.86	 5.596e+01	     -9.10	Gaussian	0.000000	0.000000
13	1	119.028317	244.113967	     -1.00	   2114.57	   1373.08	      3.91	      2.68	     -1.00	     -1.00	-16.92	 5.075e+01	     -9.03	Gaussian	0.000000	0.000000
14	1	103.000619	198.545553	     -1.00	   1745.46	   1246.06	      4.42	      3.48	     -1.00	     -1.00	-25.27	 5.703e+01	     -8.98	Gaussian	0.000000	0.000000
15	1	175.737146	249.826076	     -1.00	    752.10	   1807.68	      3.20	      2.79	     -1.00	     -1.00	-1.46	 2.839e+01	     -8.67	Gaussian	0.000000	0.000000
16	1	114.191462	177.993076	     -1.00	   2397.00	   1431.06	      4.80	      2.77	     -1.00	     -1.00	89.06	 3.696e+01	     -8.57	Gaussian	0.000000	0.000000
17	1	 71.345568	188.275114	     -1.00	   3002.85	   1449.32	      3.26	      2.95	     -1.00	     -1.00	76.52	 4.538e+01	     -8.45	Gaussian	0.000000	0.000000
18	1	 95.002995	107.507947	     -1.00	   3051.37	    924.84	      5.38	      3.29	     -1.00	     -1.00	-46.71	 1.116e+01	     -8.34	Gaussian	0.000000	0.000000
19	1	106.305590	157.504624	     -1.00	   3045.01	   1211.52	      3.95	      3.00	     -1.00	     -1.00	-20.37	 2.557e+01	     -8.05	Gaussian	0.000000	0.000000
20	1	112.539783	190.027865	     -1.00	   3013.70	   1183.63	      3.14	      1.90	     -1.00	     -1.00	80.79	 2.055e+01	     -7.74	Gaussian	0.000000	0.000000
21	1	104.759325	123.244655	     -1.00	   2899.31	   1163.61	      3.12	      3.09	     -1.00	     -1.00	-74.02	 1.483e+01	     -7.47	Gaussian	0.000000	0.000000
